Title,URL,Total Members,Posts Today,Posts Last Month,DAU/MAU,Scaled Members,Scaled DAU/MAU,Metric
IIM Kashipur Family,https://www.facebook.com/groups/405563749494134/about,856,0,0,,0.009341918585616065,,
"Graphic Era University, Dehradun",https://www.facebook.com/groups/geu.doon/about,7045,0,0,,0.0768852995743752,,
NIT Uttarakhand Information Portal,https://www.facebook.com/groups/681413378615585/about,876,0,0,,0.009560187711448216,,
"National institute of technology,uttarakhand",https://www.facebook.com/groups/261955910503296/about,730,0,0,,0.007966823092873512,,
Birla Institute of Applied Sciences,https://www.facebook.com/groups/116673218440755/about,186,0,0,,0.0020299028702390047,,
Tula's Institute the engineering and management college,https://www.facebook.com/groups/393788637355816/about,238,0,0,,0.0025974025974025974,,
IIT Ropar,https://www.facebook.com/groups/IITRopar/about,618,0,0,,0.006744515988213467,,
NIT-Hamirpur,https://www.facebook.com/groups/2212502736/about,5177,0,0,,0.0564989632216523,,
Content not found,https://www.facebook.com/groups/252995508072500/about,0,,,,0.0,,
Nsit,https://www.facebook.com/groups/131902340242578/about,43,0,0,,0.00046927862053912475,,
Content not found,https://www.facebook.com/groups/308300462667104/about,0,,,,0.0,,
Arha Construction,https://www.facebook.com/groups/159320377421557/members/about,675,"k







 Find","book







 Find",,0.007366582996835098,,
COLLEGE OF VOCATIONAL STUDIES,https://www.facebook.com/groups/collegeofvocationalstudies/about,7478,0,0,,0.08161082614864128,,
"sri guru nanak dev khalsa college,dev nagar",https://www.facebook.com/groups/313395964431about,548,"




sri","







sri",,0.005980574047800938,,
KAMALA NEHRU COLLEGE,https://www.facebook.com/groups/199652916744177about,3683,0,0,,0.040194259521990613,,
shyam lal college,https://www.facebook.com/groups/233014486801571/about,374,0,0,,0.004081632653061225,,
"Shyama Prasad Mukherji College, University of Delhi",https://www.facebook.com/groups/1453094768257367/about,708,0,0,,0.007726727054458147,,
"S.G.T.B. Khalsa College, Delhi University",https://www.facebook.com/groups/sgtbk/about,10818,0,0,,0.1180617701626105,,
eDC IIT Delhi,https://www.facebook.com/groups/105885712087/about,954,0,0,,0.010411437302193604,,
Tula's Institute the engineering and management college,https://www.facebook.com/groups/393788637355816/about,238,0,0,,0.0025974025974025974,,
NIT Uttarakhand Information Portal,https://www.facebook.com/groups/681413378615585/about,876,0,0,,0.009560187711448216,,
Noida Marketplace,https://www.facebook.com/groups/gniot/about,10489,790,"10,000",,0.11447124304267162,,
